time,open,high,low,close
2021-08-26,49002.3075,49366.68,46299.31,46858.64
2021-08-27,46850.485,49186.165,46370.4675,49084.0325
2021-08-28,49085.14,49315.3125,48349.945,48925.0275
2021-08-29,48928.4425,49659.25,47799.8225,48800.0725
2021-08-30,48794.5675,48902.695,46865.3625,46995.615
2021-08-31,46986.4875,48259.9,46713.6475,47140.64
2021-09-01,47124.365,49126.2375,46536.1875,48852.29
2021-09-02,48850.72,50391.7725,48632.3625,49289.2625
2021-09-03,49285.4975,51040.1375,48357.4625,50022.6475
2021-09-04,50026.1,50558.65,49391.555,49946.33
2021-09-05,49951.6675,51898.5725,49507.9075,51791.6375
2021-09-06,51791.6625,52803.0075,51018.4675,52698.0575
2021-09-07,52701.2175,52935.0525,42613.7525,46878.23
2021-09-08,46892.055,47376.9625,44430.98,46077.8625
2021-09-09,46063.6675,47403.8325,45520.355,46392.3625
2021-09-10,46385.2775,47031.7225,44139.39,44853.1875
2021-09-11,44852.78,45990.955,44747.26,45164.76
2021-09-12,45166.2275,46486.7825,44765.2025,46038.8925
2021-09-13,46040.8925,46881.1225,43415.665,44961.89
2021-09-14,44965.3025,47270.7275,44725.8825,47112.045
2021-09-15,47109.4025,48458.1925,46720.3525,48150.2275
2021-09-16,48136.2275,48494.0025,47039.04,47765.91
2021-09-17,47768.935,48174.68,46741.36,47291.0575
2021-09-18,47298.785,48817.1475,47057.62,48315.1775
2021-09-19,48307.6125,48396.255,46856.005,47249.3475
2021-09-20,47252.6175,47335.07,42490.9925,43011.9325
2021-09-21,43003.595,43629.175,39585.5525,40685.64
2021-09-22,40718.395,44034.7425,40582.81,43575.315
2021-09-23,43577.5275,44998.845,43108.655,44897.02
2021-09-24,44894.0825,45165.88,40705.64,42844.64
2021-09-25,42842.045,42990.38,41686.88,42712.155
2021-09-26,42705.0675,43942.7075,40805.61,43194.81
2021-09-27,43171.7475,44356.915,42120.7775,42177.77
2021-09-28,42167.305,42768.9,40892.3,41038.115
2021-09-29,41023.8325,42605.2275,40759.845,41533.695
2021-09-30,41527.9675,44103.67,41420.795,43821.91
2021-10-01,43822.7725,48490.17,43295.8425,48166.92
2021-10-02,48172.96,48353.56,47466.0125,47670.6225
2021-10-03,47659.6375,49252.37,47128.82,48235.595
2021-10-04,48232.78,49509.3875,46914.845,49241.84
2021-10-05,49253.8525,51907.185,49072.5725,51501.91
2021-10-06,51501.8725,55781.7775,50405.2625,55340.09
2021-10-07,55353.0225,55359.77,53358.5925,53798.51
2021-10-08,53810.2225,56136.42,53649.3575,53957.7325
2021-10-09,53961.75,55503.505,53690.4225,54966.9725
2021-10-10,54971.6475,56533.9,54119.0625,54696.93
2021-10-11,54677.15,57842.025,54450.1175,57493.035
2021-10-12,57487.2875,57684.5575,53928.4425,56007.4425
2021-10-13,56004.3125,57775.755,54247.0725,57376.32
2021-10-14,57379.6475,58537.7825,56827.29,57356.9225
2021-10-15,57359.2725,62901.595,56884.74,61668.5875
2021-10-16,61688.45,62360.35,60151.1225,60871.4575
